Cikkszám;Név;Cikkcsoport;Készlet mennyiség;Foglalt mennyiség;Szabad mennyiség;Me.;EAN kód;Tárolási hely;N° Ár 1 alap;Ár 1 alap pn.;Megjegyzés;Gyártói cikkszám;Módosítva;Felhasználó ID;Gépszám ID;B° Ár 1 alap;Készlet kezelési mód
602222052;VÁLTÓ OLAJ 75W-80 ;N_olaj;0,3;0;0,3;lit;;;4097;Ft;;;2024.05.09 12:00;66;41;5203,19;FIFO
688817961;LIQUI MOLY TOP TEC 4200 5W-30;MOTOROLAJ;0,300000000000001;0;0,300000000000001;liter;;;5120;Ft;RFN MDG Bárdi LM3707;;2025.12.12 12:32;5;48;6502,4;FIFO
688822161;ATF 1200 SZERVÓ OLAJ;HIDRAULIKAOLAJ;0,4;0;0,4;lit;;;8600;Ft;;;2024.09.11 16:01;5;38;10922;FIFO
602122002;VÁLTÓOLAJ 75W-90;N_olaj;0,5;0;0,5;lit;;;3421;Ft;;;2024.08.24 8:17;66;30;4344,67;FIFO
K_FORD13432050;FORD 5W-20 FORD MOTOROLAJ;A_ÁTMENŐ_ANYAGOK;0,5;0;0,5;lit;;;4037;Ft;;;2025.11.11 8:09;66;47;5126,99;FIFO
100126232;VÍZCSŐ 40-ES;TGK;0,5;0;0,5;fm;;;11280;Ft;;;2025.05.12 13:16;5;38;14325,6;FIFO
688843012;CYCLON  ATF S-1A MFG404;HAJTÓMÜOLAJ;0,6;0;0,6;lit;;43 05;3642;Ft;;;2025.03.05 11:43;66;30;4625,34;FIFO
788823032;ÜZEMANYAGCSŐ ÁTMÉRŐ 4 MM;N_anyag;0,7;0;0,7;fm;;;2896;Ft;;;2025.10.07 11:00;5;48;3677,92;FIFO
588822022;VÁLTÓ OLAJ 75W ;N_anyag;0,7;0;0,7;lit;;;4421;Ft;;;2023.11.02 11:34;66;28;5614,67;FIFO
888799372;2,4*1000MM ALUMINIUM AWI PÁLCA;REZSIANYAG;0,7;0;0,7;kg;;43 02;4517;Ft;;;2022.07.11 11:29;56;12;5736,59;FIFO
6888990632;ELF EVOLUTIN 5W-30;MOTOROLAJ;0,7;0;0,7;l;;;3477;Ft;;;2025.09.17 9:59;66;47;4415,79;FIFO
788823052;Üzemanyagcső átmérő 5 mm;REZSIANYAG;0,8;0;0,8;fm;;;1868;Ft;;;2025.04.07 9:49;66;30;2372,36;FIFO
588835522;12V H11 55W IZZÓ;A_ÁTMENŐ_ANYAGOK;1;0;1;db.;;;1645;Ft;;;2023.09.22 16:11;5;38;2089,15;FIFO
K_4494290800;ABS TOLDÓKÁBEL;A_ÁTMENŐ_ANYAGOK;1;0;1;db.;;;36124;Ft;;;2025.01.06 14:01;5;38;45877,48;FIFO
502436002;CAN-BUS ELEKTROMOS KÉSZLET;A_ÁTMENŐ_ANYAGOK;1;0;1;db.;;;28985;Ft;;;2025.11.20 11:19;66;47;36810,95;FIFO
K_FA1004-952;CSŐCSATLAKOZÓ;A_ÁTMENŐ_ANYAGOK;1;0;1;db.;;;1812;Ft;;;2024.11.13 11:30;66;30;2301,24;FIFO
K_198217;EMELŐHÁTFAL HATÓSUGARÁBAN TARTÓZKODNI TILOS;A_ÁTMENŐ_ANYAGOK;1;0;1;db.;;;664;Ft;;;2022.09.29 7:35;5;48;843,28;FIFO
K_7484223445CIAB;FŰTÉSCSAP ;A_ÁTMENŐ_ANYAGOK;1;0;1;db.;;;33000;Ft;;;2025.09.30 8:33;66;47;41910;FIFO
K_ELS25-2211;INDÍTÓMOTOR;A_ÁTMENŐ_ANYAGOK;1;0;1;db.;;;41796;Ft;;;2025.09.08 13:32;66;47;53080,92;FIFO
K_65266093;IRÁNYJELZŐ JOBB;A_ÁTMENŐ_ANYAGOK;1;0;1;db.;;;13750;Ft;;;2025.04.23 16:29;66;30;17462,5;FIFO
100187011;IZZÍTÓ RELÉ ;A_ÁTMENŐ_ANYAGOK;1;0;1;db.;;39 05;156101;Ft;VOLVO ;VO24599011;2024.10.15 15:23;5;38;198248,27;FIFO
188892022;MATRICA EURO 6 ;A_ÁTMENŐ_ANYAGOK;1;0;1;db.;;;312;Ft;Skuba 210177;;2023.01.04 10:10;56;12;396,24;FIFO
K_K1256;POLLENSZŰRŐ;A_ÁTMENŐ_ANYAGOK;1;0;1;db.;;;2622;Ft;;;2025.11.26 16:16;66;47;3329,94;FIFO
K_TDS1247T;TURBÓFELTÖLTŐ;A_ÁTMENŐ_ANYAGOK;1;0;1;db.;;;168257;Ft;;;2024.07.05 6:45;5;38;213686,39;FIFO
K_3451;VEZÉRLÉSRÖGZÍTŐ ;A_ÁTMENŐ_ANYAGOK;1;0;1;db.;;;137439;Ft;;;2025.12.22 10:27;66;47;174547,53;FIFO
100136292;ABLAKTÖRLŐ LAPÁT BOSCH;EGYEDITARTOZÉK;1;0;1;db.;;13 05;4309;Ft;3397011238;;2024.12.10 14:55;66;30;5472,43;FIFO
188892052;ACÉLKÖTÉL;EGYEDITARTOZÉK;1;0;1;db.;;;10000;Ft;;;2025.01.11 13:16;5;43;12700;FIFO
2315061;ALSÓ LÖKHÁRÍTÓ LÁMPAHELYEKKEL;EGYEDITARTOZÉK;1;0;1;db.;;11 06;32375;Ft;;;2023.08.24 14:14;66;28;41116,25;FIFO
500832002;CARGO SPRINT NYOMTATÓ;EGYEDITARTOZÉK;1;0;1;db.;;19 02;310;Ft;;;2020.12.16 10:15;5;48;393,7;FIFO
888738012;DIGITÁLIS MAGHŐMÉRŐ;EGYEDITARTOZÉK;1;0;1;db.;;;3395;Ft;;;2025.05.15 15:25;5;38;4311,65;FIFO
888299122;Fényvisszaverő tábla keretes hosszú pótk;EGYEDITARTOZÉK;1;0;1;cs;D10901;08 05;5915;Ft;;;2025.08.19 17:09;5;48;7512,05;FIFO
100164072;GYújtáskapcsoló betét;EGYEDITARTOZÉK;1;0;1;db.;225052;39 03;23498;Ft;3197718;;2020.09.15 14:06;38;41;29842,46;FIFO
288823022;HŰTŐSPÓTKOCSI TANKSAPKA LAMBERET;EGYEDITARTOZÉK;1;0;1;db.;;;11875;Ft;;;2025.01.28 15:48;5;38;15081,25;FIFO
100785043;IVECO ÁGYHUZAT;EGYEDITARTOZÉK;1;0;1;db.;;34 07;0;Ft;;;2021.04.22 15:43;5;48;0;FIFO
100123032;Kézipumpa;EGYEDITARTOZÉK;1;0;1;db.;2447010038;10 02;3765;Ft;;2447010038;2025.01.21 13:47;5;38;4781,55;FIFO
100123042;Kézipumpa;EGYEDITARTOZÉK;1;0;1;db.;205002;10 02;1827;Ft;;205002;2020.12.10 15:05;5;48;2320,29;FIFO
100166001;KORMÁNYZÁR;EGYEDITARTOZÉK;1;0;1;db.;;06 03;98814;Ft;;;2020.12.10 7:37;5;48;125493,78;FIFO
100136352;Kürt;EGYEDITARTOZÉK;1;0;1;db.;21002113;39 02;12522;Ft;DT 225402 , SKUBA 2519191;;2021.03.02 16:26;5;48;15902,94;FIFO
100136342;KÜRT VOLVO;EGYEDITARTOZÉK;1;0;1;db.;;39 02;5382;Ft;22708821 Skuba, skuba 2837837;;2020.12.18 7:38;5;48;6835,14;FIFO
